,Iteration,Gates,Bays,Station_Dist,Fleet,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Truck_HoS
278,0,1,1,50,200,189000.0,1.0,5.753,0.996,7,35,45,14
279,1,1,1,50,10,153000.0,1.7,0.434,2.131,7,35,45,14
280,1,1,1,50,25,180000.0,1.176,3.274,1.248,7,35,45,14
281,1,1,1,50,50,171000.0,1.0,4.283,1.077,7,35,45,14
282,1,1,1,50,75,189000.0,1.0,5.045,1.14,7,35,45,14
283,1,1,1,50,100,189000.0,1.0,5.587,1.091,7,35,45,14
284,1,1,1,50,125,180000.0,1.0,5.722,1.148,7,35,45,14
285,1,1,1,50,150,189000.0,1.0,5.487,1.142,7,35,45,14
286,1,1,1,50,175,189000.0,1.0,5.58,1.15,7,35,45,14
287,1,1,1,50,200,189000.0,1.0,5.761,1.152,7,35,45,14
288,2,1,1,50,10,162000.0,1.8,0.355,2.347,7,35,45,14
289,2,1,1,50,25,180000.0,1.111,3.234,1.312,7,35,45,14
290,2,1,1,50,50,180000.0,1.053,4.128,1.266,7,35,45,14
291,2,1,1,50,75,180000.0,1.0,5.465,1.199,7,35,45,14
292,2,1,1,50,100,180000.0,1.0,5.367,1.189,7,35,45,14
293,2,1,1,50,125,180000.0,1.0,5.402,1.185,7,35,45,14
294,2,1,1,50,150,189000.0,1.0,5.626,1.216,7,35,45,14
295,2,1,1,50,175,180000.0,1.0,5.745,1.188,7,35,45,14
296,2,1,1,50,200,180000.0,1.0,5.778,1.252,7,35,45,14
297,3,1,1,50,10,180000.0,2.0,0.458,2.142,7,35,45,14
298,3,1,1,50,25,180000.0,1.176,3.155,1.212,7,35,45,14
299,3,1,1,50,50,180000.0,1.0,4.786,1.031,7,35,45,14
300,3,1,1,50,75,180000.0,1.0,5.245,1.025,7,35,45,14
301,3,1,1,50,100,189000.0,1.0,5.36,0.977,7,35,45,14
302,3,1,1,50,125,180000.0,1.0,5.56,1.027,7,35,45,14
303,3,1,1,50,150,189000.0,1.0,5.718,0.984,7,35,45,14
304,3,1,1,50,175,180000.0,1.0,5.473,1.034,7,35,45,14
305,3,1,1,50,200,180000.0,1.0,5.805,1.015,7,35,45,14
306,4,1,1,50,10,180000.0,2.0,0.334,2.408,7,35,45,14
307,4,1,1,50,25,180000.0,1.176,3.065,1.464,7,35,45,14
308,4,1,1,50,50,189000.0,1.0,4.713,1.185,7,35,45,14
309,4,1,1,50,75,189000.0,1.0,5.51,1.2,7,35,45,14
310,4,1,1,50,100,189000.0,1.0,5.411,1.189,7,35,45,14
311,4,1,1,50,125,189000.0,1.0,5.474,1.193,7,35,45,14
312,4,1,1,50,150,189000.0,1.0,5.657,1.198,7,35,45,14
313,4,1,1,50,175,189000.0,1.0,5.886,1.193,7,35,45,14
314,4,1,1,50,200,189000.0,1.0,5.818,1.199,7,35,45,14
315,5,1,1,50,10,171000.0,1.9,0.577,1.851,7,35,45,14
316,5,1,1,50,25,189000.0,1.167,3.293,1.077,7,35,45,14
317,5,1,1,50,50,180000.0,1.0,4.607,0.932,7,35,45,14
318,5,1,1,50,75,189000.0,1.0,4.948,0.914,7,35,45,14
319,5,1,1,50,100,180000.0,1.0,5.335,0.94,7,35,45,14
320,5,1,1,50,125,189000.0,1.0,5.584,0.926,7,35,45,14
321,5,1,1,50,150,180000.0,1.0,5.977,0.913,7,35,45,14
322,5,1,1,50,175,180000.0,1.0,5.683,0.942,7,35,45,14
323,5,1,1,50,200,180000.0,1.0,5.857,0.926,7,35,45,14
324,6,1,1,50,10,153000.0,1.7,0.62,1.542,7,35,45,14
325,6,1,1,50,25,180000.0,1.111,3.438,0.915,7,35,45,14
326,6,1,1,50,50,180000.0,1.053,4.218,0.902,7,35,45,14
327,6,1,1,50,75,180000.0,1.053,4.718,0.856,7,35,45,14
328,6,1,1,50,100,180000.0,1.0,5.346,0.822,7,35,45,14
329,6,1,1,50,125,180000.0,1.0,5.317,0.82,7,35,45,14
330,6,1,1,50,150,180000.0,1.0,5.602,0.832,7,35,45,14
331,6,1,1,50,175,180000.0,1.0,5.713,0.832,7,35,45,14
332,6,1,1,50,200,180000.0,1.0,5.84,0.838,7,35,45,14
333,7,1,1,50,10,153000.0,1.7,0.524,1.922,7,35,45,14
334,7,1,1,50,25,189000.0,1.167,3.234,1.269,7,35,45,14
