,Iteration,Gates,Bays,Station_Dist,Truck_HoS,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Fleet
106,17,1,1,25,18,252000.0,1.077,6.478,0.554,7,35,45,50
107,17,1,1,25,24,243000.0,1.125,5.957,0.587,7,35,45,50
108,18,1,1,25,14,189000.0,1.05,4.577,0.708,7,35,45,50
109,18,1,1,25,15,198000.0,1.048,5.159,0.704,7,35,45,50
110,18,1,1,25,16,225000.0,1.087,5.277,0.724,7,35,45,50
111,18,1,1,25,17,234000.0,1.083,5.551,0.686,7,35,45,50
112,18,1,1,25,18,252000.0,1.077,6.22,0.696,7,35,45,50
113,18,1,1,25,24,243000.0,1.038,6.371,0.662,7,35,45,50
114,19,1,1,25,14,189000.0,1.05,4.433,0.509,7,35,45,50
115,19,1,1,25,15,207000.0,1.0,5.112,0.473,7,35,45,50
116,19,1,1,25,16,225000.0,1.042,5.481,0.467,7,35,45,50
117,19,1,1,25,17,234000.0,1.083,5.607,0.472,7,35,45,50
118,19,1,1,25,18,252000.0,1.037,6.284,0.474,7,35,45,50
119,19,1,1,25,24,252000.0,1.037,6.752,0.471,7,35,45,50
120,20,1,1,25,14,189000.0,1.105,4.346,0.617,7,35,45,50
121,20,1,1,25,15,207000.0,1.045,4.877,0.585,7,35,45,50
122,20,1,1,25,16,225000.0,1.042,5.733,0.567,7,35,45,50
123,20,1,1,25,17,234000.0,1.04,5.698,0.568,7,35,45,50
124,20,1,1,25,18,243000.0,1.125,5.965,0.633,7,35,45,50
125,20,1,1,25,24,243000.0,1.038,6.25,0.606,7,35,45,50
126,21,1,1,25,14,189000.0,1.05,4.502,0.464,7,35,45,50
127,21,1,1,25,15,207000.0,1.045,5.169,0.45,7,35,45,50
128,21,1,1,25,16,216000.0,1.0,5.935,0.437,7,35,45,50
129,21,1,1,25,17,234000.0,1.04,5.844,0.474,7,35,45,50
130,21,1,1,25,18,252000.0,1.077,6.182,0.489,7,35,45,50
131,21,1,1,25,24,252000.0,1.12,6.073,0.502,7,35,45,50
132,22,1,1,25,14,189000.0,1.0,4.735,0.457,7,35,45,50
133,22,1,1,25,15,198000.0,1.048,4.857,0.453,7,35,45,50
134,22,1,1,25,16,216000.0,1.043,5.329,0.505,7,35,45,50
135,22,1,1,25,17,234000.0,1.083,5.463,0.552,7,35,45,50
136,22,1,1,25,18,252000.0,1.077,6.224,0.547,7,35,45,50
137,22,1,1,25,24,252000.0,1.12,6.01,0.571,7,35,45,50
138,23,1,1,25,14,189000.0,1.05,4.245,0.446,7,35,45,50
139,23,1,1,25,15,207000.0,1.0,5.212,0.45,7,35,45,50
140,23,1,1,25,16,225000.0,1.042,5.303,0.495,7,35,45,50
141,23,1,1,25,17,225000.0,1.136,5.477,0.518,7,35,45,50
142,23,1,1,25,18,252000.0,1.077,6.138,0.513,7,35,45,50
143,23,1,1,25,24,252000.0,1.077,6.385,0.529,7,35,45,50
144,24,1,1,25,14,189000.0,1.05,4.432,0.61,7,35,45,50
145,24,1,1,25,15,207000.0,1.0,5.498,0.585,7,35,45,50
146,24,1,1,25,16,216000.0,1.043,5.727,0.622,7,35,45,50
147,24,1,1,25,17,225000.0,1.042,5.673,0.609,7,35,45,50
148,24,1,1,25,18,252000.0,1.077,5.892,0.642,7,35,45,50
149,24,1,1,25,24,252000.0,1.077,6.306,0.624,7,35,45,50
150,25,1,1,25,14,189000.0,1.05,4.769,0.614,7,35,45,50
151,25,1,1,25,15,207000.0,1.045,4.975,0.618,7,35,45,50
152,25,1,1,25,16,225000.0,1.087,5.051,0.624,7,35,45,50
153,25,1,1,25,17,234000.0,1.083,5.995,0.624,7,35,45,50
154,25,1,1,25,18,252000.0,1.077,6.146,0.631,7,35,45,50
155,25,1,1,25,24,243000.0,1.038,6.423,0.627,7,35,45,50
156,26,1,1,25,14,189000.0,1.0,4.214,0.638,7,35,45,50
157,26,1,1,25,15,207000.0,1.045,4.596,0.629,7,35,45,50
158,26,1,1,25,16,225000.0,1.042,5.188,0.621,7,35,45,50
159,26,1,1,25,17,234000.0,1.04,5.885,0.605,7,35,45,50
160,26,1,1,25,18,252000.0,1.077,5.924,0.647,7,35,45,50
161,26,1,1,25,24,252000.0,1.037,6.139,0.623,7,35,45,50
162,27,1,1,25,14,189000.0,1.05,4.46,0.638,7,35,45,50
