,Gates,Bays,Station_Dist,Gate_Value,Gate_OFC,Bay_Value,Bay_OFC,Speed_Value,Speed_OFC,Fleet_Value,Fleet_OFC,Best_Intrv,Best_Value,Best_OFC
230,3,9,100,10.0,1.1390999999999998,35.0,1.1724,75.0,1.4115000000000002,125.0,1.5651000000000006,Transportation Fleet,125.0,1.5651000000000006
231,3,9,150,10.0,0.9246,15.0,1.0196999999999998,75.0,1.2231,100.0,1.4576999999999996,Transportation Fleet,100.0,1.4576999999999996
232,3,9,200,10.0,0.7616999999999999,,,75.0,1.0605,100.0,1.3884,Transportation Fleet,100.0,1.3884
233,3,9,300,15.0,0.5984999999999999,,,75.0,0.8219999999999998,125.0,1.2461999999999998,Transportation Fleet,125.0,1.2461999999999998
234,3,10,25,10.0,1.6266,15.0,2.315400000000001,45.0,1.6605,150.0,1.8642,Terminal Bay Time,15.0,2.315400000000001
235,3,10,50,10.0,1.5135,20.0,1.8024,75.0,1.6496999999999995,150.0,1.8146999999999995,Transportation Fleet,150.0,1.8146999999999995
236,3,10,100,10.0,1.1544,42.5,1.1244,75.0,1.4745,125.0,1.7208000000000003,Transportation Fleet,125.0,1.7208000000000003
237,3,10,150,10.0,0.9279,37.5,0.9228,75.0,1.2444,125.0,1.6364999999999996,Transportation Fleet,125.0,1.6364999999999996
238,3,10,200,10.0,0.7605000000000001,,,75.0,1.0701,125.0,1.5498000000000005,Transportation Fleet,125.0,1.5498000000000005
239,3,10,300,,,,,75.0,0.8346000000000001,150.0,1.3884,Transportation Fleet,150.0,1.3884
240,3,11,25,9.0,1.7607,15.0,2.3052,35.0,1.7448000000000004,125.0,2.031,Terminal Bay Time,15.0,2.3052
241,3,11,50,9.0,1.557,15.0,1.8738,75.0,1.7586,150.0,2.0028,Transportation Fleet,150.0,2.0028
242,3,11,100,10.0,1.1625,42.5,1.1208,75.0,1.4784000000000002,125.0,1.8825000000000005,Transportation Fleet,125.0,1.8825000000000005
243,3,11,150,10.0,0.9267,40.0,0.9126,75.0,1.2473999999999998,125.0,1.7858999999999996,Transportation Fleet,125.0,1.7858999999999996
244,3,11,200,10.0,0.7674,,,75.0,1.0773,150.0,1.7073000000000005,Transportation Fleet,150.0,1.7073000000000005
245,3,11,300,15.0,0.5976,,,75.0,0.8243999999999999,150.0,1.5297000000000005,Transportation Fleet,150.0,1.5297000000000005
246,3,12,25,7.0,1.9116,15.0,2.3160000000000003,45.0,1.8888,150.0,2.2191,Terminal Bay Time,15.0,2.3160000000000003
247,3,12,50,9.0,1.5672,30.0,1.6811999999999998,75.0,1.8417,150.0,2.1621,Transportation Fleet,150.0,2.1621
248,3,12,100,10.0,1.1547000000000005,42.5,1.1496,75.0,1.5072000000000003,150.0,2.0667,Transportation Fleet,150.0,2.0667
