,Iteration,Gates,Bays,Station_Dist,Truck_Speed,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_HoS,Fleet
120,20,1,1,25,25,180000.0,1.0,4.628,1.143,7,35,14,50
121,20,1,1,25,35,180000.0,1.0,4.717,0.768,7,35,14,50
122,20,1,1,25,45,189000.0,1.0,5.022,0.603,7,35,14,50
123,20,1,1,25,55,189000.0,1.05,4.472,0.536,7,35,14,50
124,20,1,1,25,65,180000.0,1.053,4.524,0.46,7,35,14,50
125,20,1,1,25,75,189000.0,1.05,4.88,0.382,7,35,14,50
126,21,1,1,25,25,189000.0,1.0,4.307,1.125,7,35,14,50
127,21,1,1,25,35,189000.0,1.05,4.369,0.844,7,35,14,50
128,21,1,1,25,45,189000.0,1.0,4.408,0.662,7,35,14,50
129,21,1,1,25,55,189000.0,1.0,4.674,0.55,7,35,14,50
130,21,1,1,25,65,189000.0,1.0,4.758,0.458,7,35,14,50
131,21,1,1,25,75,189000.0,1.05,4.903,0.403,7,35,14,50
132,22,1,1,25,25,189000.0,1.0,4.538,0.935,7,35,14,50
133,22,1,1,25,35,189000.0,1.0,4.588,0.663,7,35,14,50
134,22,1,1,25,45,189000.0,1.05,4.363,0.536,7,35,14,50
135,22,1,1,25,55,189000.0,1.05,4.781,0.442,7,35,14,50
136,22,1,1,25,65,189000.0,1.105,4.458,0.395,7,35,14,50
137,22,1,1,25,75,189000.0,1.05,4.593,0.32,7,35,14,50
138,23,1,1,25,25,180000.0,1.0,4.948,1.142,7,35,14,50
139,23,1,1,25,35,189000.0,1.0,4.55,0.789,7,35,14,50
140,23,1,1,25,45,189000.0,1.0,4.787,0.65,7,35,14,50
141,23,1,1,25,55,189000.0,1.0,4.748,0.532,7,35,14,50
142,23,1,1,25,65,189000.0,1.0,5.041,0.45,7,35,14,50
143,23,1,1,25,75,189000.0,1.0,4.755,0.395,7,35,14,50
144,24,1,1,25,25,198000.0,1.048,4.394,0.996,7,35,14,50
145,24,1,1,25,35,189000.0,1.05,4.613,0.756,7,35,14,50
146,24,1,1,25,45,189000.0,1.0,4.819,0.574,7,35,14,50
147,24,1,1,25,55,189000.0,1.0,4.925,0.485,7,35,14,50
148,24,1,1,25,65,198000.0,1.048,4.561,0.409,7,35,14,50
149,24,1,1,25,75,198000.0,1.0,4.71,0.341,7,35,14,50
150,25,1,1,25,25,189000.0,1.105,4.666,0.72,7,35,14,50
151,25,1,1,25,35,189000.0,1.05,4.709,0.497,7,35,14,50
152,25,1,1,25,45,189000.0,1.105,4.197,0.428,7,35,14,50
153,25,1,1,25,55,189000.0,1.105,4.514,0.343,7,35,14,50
154,25,1,1,25,65,189000.0,1.05,4.956,0.278,7,35,14,50
155,25,1,1,25,75,189000.0,1.105,4.231,0.252,7,35,14,50
156,26,1,1,25,25,180000.0,1.0,4.58,0.933,7,35,14,50
157,26,1,1,25,35,189000.0,1.0,5.066,0.674,7,35,14,50
158,26,1,1,25,45,189000.0,1.05,4.904,0.557,7,35,14,50
159,26,1,1,25,55,189000.0,1.05,4.325,0.46,7,35,14,50
160,26,1,1,25,65,198000.0,1.048,4.753,0.369,7,35,14,50
161,26,1,1,25,75,198000.0,1.048,4.467,0.317,7,35,14,50
162,27,1,1,25,25,180000.0,1.053,4.227,0.986,7,35,14,50
163,27,1,1,25,35,198000.0,1.048,4.394,0.664,7,35,14,50
164,27,1,1,25,45,198000.0,1.048,4.736,0.519,7,35,14,50
165,27,1,1,25,55,180000.0,1.0,4.818,0.422,7,35,14,50
166,27,1,1,25,65,198000.0,1.048,4.781,0.354,7,35,14,50
167,27,1,1,25,75,189000.0,1.05,4.919,0.325,7,35,14,50
168,28,1,1,25,25,189000.0,1.0,4.575,1.087,7,35,14,50
169,28,1,1,25,35,189000.0,1.0,4.482,0.816,7,35,14,50
170,28,1,1,25,45,189000.0,1.05,4.482,0.664,7,35,14,50
171,28,1,1,25,55,189000.0,1.05,4.487,0.57,7,35,14,50
