,Gates,Bays,Station_Dist,Parameter,Value,p-value,DES_Mono,Avg_OFC
5654,2,9,150,Bay,22.5,0.20305171029873892,True,0.9758999999999999
5655,2,9,150,Bay,25.0,0.3600501291936987,True,0.9600000000000001
5656,2,9,150,Bay,27.5,0.20712776400031502,True,0.9486
5657,2,9,150,Bay,30.0,0.8951772409466351,True,0.9341999999999999
5658,2,9,150,Bay,32.5,0.09513202833268965,True,0.9327000000000001
5659,2,9,150,Bay,35.0,0.6082249498648757,True,0.9132
5660,2,9,150,Bay,37.5,0.19293886405241276,True,0.9075
5661,2,9,150,Bay,40.0,0.22813675213760332,True,0.8931000000000001
5662,2,9,150,Bay,42.5,0.11436361711084135,True,0.8795999999999999
5663,2,9,150,Speed,35,2.9118074434770467e-19,True,0.7905000000000001
5664,2,9,150,Speed,45,1.2529363497960756e-19,True,0.9329999999999999
5665,2,9,150,Speed,55,2.760245123162554e-13,True,1.0479
5666,2,9,150,Speed,65,3.41515259275331e-11,True,1.1499
5667,2,9,150,Speed,75,8.289016183970909e-10,True,1.2285
5668,2,9,150,HoS,15,9.596412392526415e-12,True,1.0239
5669,2,9,150,HoS,16,1.1310238543851886e-10,True,1.1136000000000001
5670,2,9,150,HoS,17,1.8248792465940377e-10,True,1.2050999999999996
5671,2,9,150,HoS,18,6.802313442711596e-10,True,1.2915
5672,2,9,150,Fleet,25,8.370343634192543e-44,True,0.47580000000000006
5673,2,9,150,Fleet,50,4.281004658181114e-48,True,0.9264
5674,2,9,150,Fleet,75,7.650614758797591e-42,True,1.3332000000000002
5675,2,9,150,Fleet,100,8.355550663897287e-16,True,1.4501999999999997
5676,2,9,150,Fleet,125,0.03485763322510986,True,1.4675999999999998
5677,2,9,150,Fleet,150,0.21919328592514994,True,1.4763
5678,2,9,150,Fleet,175,0.9651118505237082,True,1.4766
5679,2,9,150,Fleet,200,0.6270350689905251,True,1.4796000000000002
5680,2,9,200,Gate,1,0.9776086718754595,False,0.7866
5681,2,9,200,Gate,2,0.9590302075860033,True,0.7868999999999999
5682,2,9,200,Gate,3,0.9159633028968691,False,0.7862999999999999
5683,2,9,200,Gate,4,0.19270354473453927,True,0.7875000000000001
5684,2,9,200,Gate,5,0.9594262466402765,False,0.7725000000000001
5685,2,9,200,Gate,6,0.7762934891017901,False,0.7731000000000001
5686,2,9,200,Gate,7,0.5134617078953785,True,0.7761
5687,2,9,200,Gate,8,0.4121514660668051,True,0.7692
5688,2,9,200,Gate,9,0.8741689848943816,True,0.7601999999999999
5689,2,9,200,Gate,10,6.42991085491754e-09,True,0.7583999999999999
5690,2,9,200,Gate,15,3.9878529481656466e-24,True,0.6845999999999999
5691,2,9,200,Bay,15.0,0.7838701335672604,True,0.8280000000000001
5692,2,9,200,Bay,17.5,0.29701668751025573,True,0.8244000000000002
5693,2,9,200,Bay,20.0,0.3278268990876726,True,0.81
5694,2,9,200,Bay,22.5,0.46038947697895927,True,0.7977
5695,2,9,200,Bay,25.0,0.8649912800915668,True,0.7889999999999999
5696,2,9,200,Bay,27.5,0.690189695151485,True,0.7868999999999998
5697,2,9,200,Bay,30.0,0.14490819041950403,True,0.7820999999999999
5698,2,9,200,Bay,32.5,0.38155377403794655,True,0.7656
5699,2,9,200,Bay,35.0,0.6528563974972423,True,0.7562999999999998
5700,2,9,200,Bay,37.5,0.555059937906584,True,0.7512
5701,2,9,200,Bay,40.0,0.7651307392545387,True,0.7448999999999999
5702,2,9,200,Bay,42.5,0.1863734060938443,True,0.7418999999999998
5703,2,9,200,Speed,35,6.5169014896306495e-19,True,0.6519
5704,2,9,200,Speed,45,5.692633389647896e-16,True,0.7605000000000002
5705,2,9,200,Speed,55,2.5727311748149487e-16,True,0.8682000000000001
5706,2,9,200,Speed,65,1.0593629519291787e-16,True,0.9684000000000003
5707,2,9,200,Speed,75,1.1942838202066214e-08,True,1.0386
5708,2,9,200,HoS,15,2.3587486142637456e-06,True,0.8330999999999997
5709,2,9,200,HoS,16,1.2841842927899848e-05,True,0.9021
5710,2,9,200,HoS,17,7.372202998590261e-09,True,0.9996000000000002
5711,2,9,200,HoS,18,6.908556238561724e-06,True,1.0635000000000001
5712,2,9,200,Fleet,25,7.536543659317988e-43,True,0.3783
5713,2,9,200,Fleet,50,2.0752422634108508e-40,True,0.7721999999999999
5714,2,9,200,Fleet,75,3.132607021711667e-34,True,1.1385
5715,2,9,200,Fleet,100,2.687856665001915e-25,True,1.3824
5716,2,9,200,Fleet,125,0.029748160564649136,True,1.4022
5717,2,9,200,Fleet,150,0.5266944496953752,True,1.4075999999999997
5718,2,9,200,Fleet,175,0.7539751479665078,True,1.41
5719,2,9,200,Fleet,200,0.3839586238974477,True,1.4165999999999996
5720,2,9,300,Gate,1,1.0,True,0.6099
5721,2,9,300,Gate,2,0.8037358771491707,False,0.6099
5722,2,9,300,Gate,3,0.22264546876703012,True,0.6117
5723,2,9,300,Gate,4,0.9669128682966888,False,0.6030000000000001
5724,2,9,300,Gate,5,1.0,True,0.6033000000000001
5725,2,9,300,Gate,6,0.6960804477109788,True,0.6033000000000001
5726,2,9,300,Gate,7,0.969087950605154,False,0.6003000000000001
5727,2,9,300,Gate,8,0.5601039578983686,True,0.6005999999999999
5728,2,9,300,Gate,9,0.5765605825363938,True,0.5961
5729,2,9,300,Gate,10,4.7113478398664695e-06,True,0.5919
5730,2,9,300,Gate,15,2.693820671570999e-19,True,0.5556
5731,2,9,300,Bay,15.0,0.4183909258628654,True,0.6371999999999999
5732,2,9,300,Bay,17.5,1.0,True,0.6282
5733,2,9,300,Bay,20.0,0.4675830964161728,True,0.6282
5734,2,9,300,Bay,22.5,0.8053508825398618,True,0.6206999999999999
5735,2,9,300,Bay,25.0,0.8292282577130388,True,0.6180000000000001
5736,2,9,300,Bay,27.5,0.5411126902137471,True,0.6155999999999999
5737,2,9,300,Bay,30.0,0.5814806229562569,True,0.6090000000000001
5738,2,9,300,Bay,32.5,0.8786653081341188,False,0.6033000000000002
5739,2,9,300,Bay,35.0,0.41786403173625486,True,0.6047999999999999
5740,2,9,300,Bay,37.5,0.9275109570407545,True,0.5969999999999999
5741,2,9,300,Bay,40.0,0.7419818295211167,True,0.5961
5742,2,9,300,Bay,42.5,0.6034018128195795,True,0.5928000000000001
5743,2,9,300,Speed,35,9.300654112546018e-17,True,0.5151
5744,2,9,300,Speed,45,3.96432561264807e-14,True,0.5993999999999999
5745,2,9,300,Speed,55,4.845036745758141e-07,True,0.6639
5746,2,9,300,Speed,65,1.7956019971991692e-07,True,0.7449
5747,2,9,300,Speed,75,7.007839384675222e-08,True,0.8244
5748,2,9,300,HoS,15,0.00026905641105024196,True,0.6474
5749,2,9,300,HoS,16,0.0008818400649207891,True,0.6899999999999998
5750,2,9,300,HoS,17,3.719471869891387e-05,True,0.7461
5751,2,9,300,HoS,18,0.0002601056157240336,True,0.7977
5752,2,9,300,Fleet,25,2.202795842112237e-39,True,0.3102
5753,2,9,300,Fleet,50,1.6966280076920108e-39,True,0.6213
5754,2,9,300,Fleet,75,1.3400883993108283e-34,True,0.9039
5755,2,9,300,Fleet,100,3.9437254292576296e-30,True,1.1462999999999999
5756,2,9,300,Fleet,125,1.2167033864998597e-13,True,1.2446999999999997
5757,2,9,300,Fleet,150,0.4081533511419536,True,1.2527999999999997
5758,2,9,300,Fleet,175,0.901626236043655,True,1.254
5759,2,9,300,Fleet,200,0.5454827502598851,True,1.2596999999999998
5760,2,10,25,Gate,1,0.18727495603698652,False,1.6794
5761,2,10,25,Gate,2,0.0007938138398701708,True,1.6953
5762,2,10,25,Gate,3,0.981092878045578,False,1.6547999999999996
5763,2,10,25,Gate,4,0.6852449371486591,False,1.6551
5764,2,10,25,Gate,5,0.4854962262953112,True,1.6599
5765,2,10,25,Gate,6,0.1161168250808445,True,1.6518
5766,2,10,25,Gate,7,7.390779781090254e-22,True,1.6322999999999999
5767,2,10,25,Gate,8,8.150904017950113e-17,True,1.4583
5768,2,10,25,Gate,9,2.6647301671660805e-18,True,1.3314000000000001
