,Iteration,Group,Flow,Flow_MMgal,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time
133,12,Greenville,486000.0,0.486,2.25,0.021,4.999
134,12,Jonesboro,828000.0,0.828,2.421,0.024,5.501
135,12,Little Rock,2673000.0,2.673,2.75,0.0,4.73
136,12,Memphis,3294000.0,3.294,2.179,0.71,3.89
137,12,Owensboro,954000.0,0.954,3.029,0.051,4.366
138,12,Paducah,630000.0,0.63,1.628,0.702,3.884
139,12,Princeton,351000.0,0.351,1.258,2.99,1.989
140,12,Robinson,486000.0,0.486,2.16,0.01,5.6
141,12,St. Louis,3366000.0,3.366,1.677,1.901,1.917
142,12,Wood River,558000.0,0.558,3.1,0.0,4.804
143,13,Cape Girardeau,747000.0,0.747,2.128,0.056,5.148
144,13,Greenville,504000.0,0.504,2.333,0.009,5.431
145,13,Jonesboro,774000.0,0.774,2.263,0.02,5.258
146,13,Little Rock,2511000.0,2.511,2.583,0.002,4.67
147,13,Memphis,3276000.0,3.276,2.167,0.78,3.785
148,13,Owensboro,927000.0,0.927,2.943,0.044,4.152
149,13,Paducah,657000.0,0.657,1.698,0.612,4.123
150,13,Princeton,360000.0,0.36,1.333,2.689,1.943
151,13,Robinson,495000.0,0.495,2.2,0.018,5.757
152,13,St. Louis,3411000.0,3.411,1.715,1.872,1.934
153,13,Wood River,558000.0,0.558,3.1,0.0,4.475
154,14,Cape Girardeau,783000.0,0.783,2.231,0.099,4.668
155,14,Greenville,486000.0,0.486,2.25,0.037,4.926
156,14,Jonesboro,774000.0,0.774,2.263,0.038,5.805
157,14,Little Rock,2583000.0,2.583,2.657,0.001,4.66
158,14,Memphis,3420000.0,3.42,2.262,0.703,3.944
159,14,Owensboro,909000.0,0.909,2.886,0.028,4.513
160,14,Paducah,675000.0,0.675,1.744,0.722,4.083
161,14,Princeton,360000.0,0.36,1.212,2.221,2.075
162,14,Robinson,486000.0,0.486,2.16,0.014,5.431
163,14,St. Louis,3384000.0,3.384,1.679,1.855,1.915
164,14,Wood River,612000.0,0.612,3.4,0.0,4.621
165,15,Cape Girardeau,774000.0,0.774,2.205,0.067,4.929
166,15,Greenville,486000.0,0.486,2.25,0.004,5.507
